,, Клуб , Имя 
,,  Спартак , Илья Самошников 
,,  Рубин , Арройо 
,,  Ростов , Андрей Лангович 
,,  Рубин , Александр Зотов 
,,  Пари НН , Коледин 
,,  Динамо , Тюкавин 
,,  Ахмат , Милош Шатара 
,,  Ростов , Тарасов 
,,  Сочи , Осипов 
,,  Динамо , Окишор 
,,  Динамо Махачкала , Аззи 
,,  Ахмат , Амин Талаль 
,,  Крылья Советов , Владимир Хубулов 
,,  Крылья Советов , Иван Бобер 
,,  Динамо , Зайдензаль 
,,  Оренбург , Ценов 
,,  Акрон , Хосонов 
,,  Динамо Махачкала , Будунов 
,,  Акрон , Базилевский 
,,  Ахмат , Жемалетдинов 
,,  Локомотив , Мялковский 
,,  Краснодар , Жубал 
,,  Зенит , Вадим Шилов 
,,  Зенит , Арсен Адамов 
,,  Балтика , Ковач 
,,  Зенит , Александр Ерохин 
,,  Оренбург , Игнатьев 
,,  Пари НН , Бедошвили 
,,  Крылья Советов , Никита Чернов 
,,  Ростов , Хорен Байрамян 
,,  Спартак , Тео Бонгонда 
,,  Ахмат , Эль Махрауи 
,,  Балтика , Мохаммад 
,,  Спартак , Массалыга 
,,  Балтика , Даниил Уткин 
,,  ЦСКА , Руис 
,,  Рубин , Энри Мукба 
,,  Ахмат , Вадим Ульянов 
,,  Пари НН , Вадим Лукьянов 
,,  Спартак , Даниил Зорин 
,,  Локомотив , Рамирес 
,,  Оренбург , Алексей Барановский 
,,  Рубин , Лобов 
,,  Оренбург , Поройков 
,,  Акрон , Никита Шершов 
,,  ЦСКА , Родриго Вильягра 
,,  Крылья Советов , Гайч 
,,  Локомотив , Владислав Сарвели 
,,  Оренбург , Саид Сахархизан 
,,  Краснодар , Артем Хмарин 
,,  Локомотив , Илья Лантратов 
,,  Сочи , Корнеев 
,,  Крылья Советов , Владислав Шитов 
,,  Крылья Советов , Дмитрий Иванисеня 
,,  Ростов , Аджаса 
,,  Динамо Махачкала , Кирилл Помешкин 
,,  ЦСКА , Верде 
,,  Сочи , Марсело Алвес 
,,  Оренбург , Ломакин 
,,  Сочи , Чирков 
,,  Балтика , Кирилл Степанов 
,,  Спартак , Егор Гузиев 
,,  Краснодар , Мукаилов 
,,  Спартак , Рощин 
,,  Пари НН , Опоку Сарфо 
,,  ЦСКА , Попович 
,,  ЦСКА , Пополитов 
,,  Сочи , Кирилл Никитин 
,,  Спартак , Виталий Шитов 
,,  Сочи , Пасевич 
,,  Спартак , Александр Довбня 
,,  Сочи , Ломаев 
,,  Спартак , Илья Тихомиров 
,,  Акрон , Роча 
,,  Спартак , Ву 
,,  Спартак , Пяткин 
,,  Сочи , Мелешин 
,,  Спартак , Пичиенко 
,,  Спартак , Мельник 
,,  Динамо Махачкала , Аларкон 
,,  Ахмат , Гадио 
,,  Спартак , Лайкин 
,,  Сочи , Камано 
,,  Пари НН , Боженов 
,,  Ростов , Андриянов 
,,  Динамо , Исаев 
,,  ЦСКА , Егор Ушаков 
,,  Динамо , Мирошниченко 
,,  Балтика , Манелов 
,,  Ахмат , Тарамов 
,,  Акрон , Морозов 
,,  ЦСКА , Владислав Тороп 
,,  Акрон , Кондаков 
,,  Оренбург , Косерик 
,,  ЦСКА , Келвен 
,,  Балтика , Беликов 
,,  Динамо , Владислав Степанов 
,,  Акрон , Попенков 
,,  Балтика , Обонин 
,,  Пари НН , Бреславцев 
,,  Динамо Махачкала , Магомедов 
,,  ЦСКА , Аббосбек Файзуллаев 
,,  ЦСКА , Сериков 
,,  ЦСКА , Пономарчук 
,,  Оренбург , Гулько 
,,  Оренбург , Данила Шилов 
,,  ЦСКА , Савинов 
,,  Динамо Махачкала , Шихалиев 
,,  Ростов , Рязанов 
,,  Пари НН , Генералов 
,,  Оренбург , Горелов 
,,  Акрон , Кузьменко 
,,  Спартак , Илья Помазун 
,,  ЦСКА , Савин 
,,  ЦСКА , Бондаренко 
,,  ЦСКА , Лызлов 
,,  ЦСКА , Данилов 
,,  Пари НН , Матвей Федоров 
,,  Спартак , Хесус Медина 
,,  Оренбург , Жезус 
,,  Краснодар , Гусейнов 
,,  Оренбург , Минатулаев 
,,  ЦСКА , Николай Баровский 
,,  ЦСКА , Бесаев 
,,  ЦСКА , Риванди 
,,  Рубин , Мальдонадо 
,,  Акрон , Илья Агапов 
,,  ЦСКА , Айссауи 
,,  Локомотив , Шейко 
,,  ЦСКА , Рядно 
,,  Оренбург , Давыдов 
,,  Акрон , Алексей Соловьев 
,,  Сочи , Кайнов 
,,  Динамо Махачкала , Александр Сандрачук 
,,  Зенит , Михаил Кержаков 
,,  Зенит , Вячеслав Караваев 
,,  Зенит , Вершинин 
,,  Зенит , Богдан Москвичев 
,,  Зенит , Гойло 
,,  Зенит , Давид Бязров 
,,  Зенит , Илья Булыгин 
,,  Динамо Махачкала , Крачковский 
,,  Зенит , Кирилл Столбов 
,,  Динамо Махачкала , Алимхан Зайнивов 
,,  Динамо Махачкала , Ян Джапо 
,,  Динамо Махачкала , Храмцов 
,,  Динамо Махачкала , Магомед Ибрагимов 
,,  Динамо Махачкала , Зайнудинов 
,,  Динамо Махачкала , Ахмедов 
,,  Динамо Махачкала , Акаев 
,,  Динамо , Хорхе Карраскаль 
,,  Зенит , Ренан 
,,  Зенит , Михайлов 
,,  Динамо , Чавес 
,,  Краснодар , Кучугура 
,,  Крылья Советов , Илья Грибакин 
,,  Крылья Советов , Данил Белтюков 
,,  Краснодар , Корякин 
,,  Краснодар , Александр Кокшаров 
,,  Краснодар , Карпов 
,,  Краснодар , Стежко 
,,  Краснодар , Сидоренко 
,,  Краснодар , Ндука 
,,  Краснодар , Ковалевский 
,,  Зенит , Саша Зделар 
,,  Краснодар , Кистенев 
,,  Краснодар , Сафронов 
,,  Краснодар , Постриган 
,,  Краснодар , Пивоваров 
,,  Краснодар , Мацола 
,,  Краснодар , Ларионов 
,,  Краснодар , Кулаев 
,,  Краснодар , Даниил Голиков 
,,  Динамо , Артур 
,,  Динамо , Лаксальт 
,,  Сочи , Викторьен Ангбан 
,,  Ахмат , Яхья Магомедов 
,,  Балтика , Бегун 
,,  Ахмат , Бернард Бериша 
,,  Ахмат , Мауро Луна Диале 
,,  Ахмат , Магомед Якуев 
,,  Ахмат , Турищев 
,,  Ахмат , Мосейчук 
,,  Ахмат , Ризван Уциев 
,,  Ахмат , Ташаев 
,,  Ахмат , Гаибов 
,,  Балтика , Горбачев 
,,  Акрон , Кирилл Данилин 
,,  Акрон , Шерзод Эсанов 
,,  Акрон , Чибота 
,,  Акрон , Артур Галоян 
,,  Акрон , Аксентий Чалигава 
,,  Акрон , Димоски 
,,  Акрон , Сергей Волков
,,  Акрон , Александр Васютин 
,,  Балтика , Гасанбеков 
,,  Балтика , Любаков 
,,  Динамо , Лука Гагнидзе 
,,  Балтика , Эльдарушев 
,,  Динамо , Денис Боков 
,,  Динамо , Назаренко 
,,  Динамо , Майсторович 
,,  Динамо , Кудравец 
,,  Динамо , Балахонов 
,,  Динамо , Расулов 
,,  Динамо , Купцов 
,,  Балтика , Алекс Фернандес 
,,  Балтика , Стефанович 
,,  Балтика , Савицкий 
,,  Балтика , Оздоев 
,,  Балтика , Дмитрий Никитин 
,,  Балтика , Мокин 
,,  Балтика , Денис Макаров 
,,  Балтика , Диего Луна 
,,  Балтика , Камаев 
,,  Балтика , Исик 
,,  Балтика , Ангутаев 
,,  Крылья Советов , Алексей Лысов 
,,  Крылья Советов , Константин Ляхов 
,,  Крылья Советов , Михаил Недоспасов 
,,  Ростов , Имран Азнауров 
,,  Рубин , Родин 
,,  Рубин , Артур Нигматуллин 
,,  Рубин , Дрезгич 
,,  Рубин , Никита Васильев 
,,  Рубин , Константин Нижегородов 
,,  Рубин , Илья Ежов 
,,  Ростов , Родриго Саравия 
,,  Ростов , Эяд Эль-Аскалани 
,,  Рубин , Марат Апшацев 
,,  Ростов , Титов 
,,  Ростов , Даниил Одоевский 
,,  Ростов , Мельников 
,,  Ростов , Алексей Колтаков 
,,  Ростов , Герман Игнатов 
,,  Ростов , Илья Зубенко 
,,  Ростов , Амосов 
,,  Ростов , Евгений Чернов 
,,  Рубин , Фаттахов 
,,  Рубин , Кузнецов 
,,  Крылья Советов , Евгений Фролов 
,,  Сочи , Аносов 
,,  Сочи , Шагиахметов 
,,  Сочи , Тоцкий 
,,  Сочи , Терехов 
,,  Сочи , Носатый 
,,  Сочи , Мециев 
,,  Сочи , Кожемякин 
,,  Сочи , Киракосян 
,,  Сочи , Балкизов 
,,  Сочи , Суслов 
,,  Рубин , Александр Ломовицкий 
,,  Сочи , Стойисавлевич 
,,  Динамо Махачкала , Карабашев 
,,  Сочи , Калинов 
,,  Сочи , Николай Заболотный 
,,  Сочи , Павел Бочаров 
,,  Сочи , Агбалака 
,,  Рубин , Валентин Вада 
,,  Рубин , Марвин Чуни 
,,  Ростов , Хидает Ханкич 
,,  Ростов , Хаджикадунич 
,,  Ростов , Тоневицкий 
,,  Локомотив , Мампасси 
,,  Оренбург , Максим Сыщенко 
,,  Оренбург , Семен Столбов 
,,  Оренбург , Скичко 
,,  Оренбург , Владимир Керин 
,,  Локомотив , Тимофеев 
,,  Локомотив , Жерзино Ньямси 
,,  Локомотив , Михаил Щетинин 
,,  Локомотив , Топинка 
,,  Локомотив , Даниил Веселов 
,,  Ростов , Ярослав Соловьев 
,,  Крылья Советов , Никита Кокарев 
,,  Крылья Советов , Карпицкий 
,,  Крылья Советов , Соколов 
,,  Крылья Советов , Павел Попов 
,,  Крылья Советов , Кирилл Попов 
,,  Крылья Советов , Першин 
,,  Крылья Советов , Николай Максимов 
,,  Крылья Советов , Роман Евгеньев 
,,  Оренбург , Тюленев 
,,  Оренбург , Ходанович 
,,  Оренбург , Тимофей Мартынов 
,,  Пари НН , Александр Эктов 
,,  Ростов , Радченко 
,,  Ростов , Николай Поярков 
,,  Ростов , Александр Мухин 
,,  Ростов , Игорь Калинин 
,,  Ростов , Бабакин 
,,  Пари НН , Валерий Царукян 
,,  Пари НН , Александр Трошечкин 
,,  Пари НН , Зе Турбо 
,,  Пари НН , Ожегович 
,,  Оренбург , Николай Сысуев 
,,  Пари НН , Станислав Лапинский 
,,  Пари НН , Артем Чистяков 
,,  Пари НН , Мелентьев 
,,  Балтика , Кукушкин 
,,  Пари НН , Кошкин 
,,  Акрон , Тереховский 
,,  Рубин , Кузяев 
,,  Пари НН , Ярослав Крашевский 
,,  Спартак , Даниил Хлусевич 
,,  Ахмат , Дарко Тодорович 
